UID,"Applic
date",Loan/Card/Overdraft Type,Amount/AMD,Approved/declined,Reason of decline,"Approved
limit",Loyal/Payroll,Local Currency Average balance for last 1month (customer level),Local Currency Average balance for last 6 months (customer level),Credit turnover  for last 6 months (customer level),Debit turnover for last 6 months (customer level),Gender,Marital Status,# of children,Education Level,Home Ownership status,Relationship start date (with the Bank),ID Type,Citizenship,Country of Residency,Customer segment,Employer,Industry,Job Title,Occupation type,Employed since (current employer),Duration with previous employer (years),Other income weighted,Salary weighted,Experience(Current employer),Total Experience,Total income,Total turnover,Debt/Income
1983,20201130,5,6600000.0,0,21,6600000.0,1,588682.0,524344.0,7166458.0,-5763223.0,1,3,0.0,0,1,20160531,3,0,1,1,679,12,1765,3,20200901.0,4.0,2400000.0,13803960.0,0.2465753424657534,4.2465753424657535,168047520.0,1403235.0,0.03927460518310535
1586,20200523,5,200000.0,0,21,200000.0,1,40638.0,16635.0,410222.0,-399300.0,0,0,2.0,0,4,20200304,3,0,1,0,1285,23,73,3,20180524.0,2.0,0.0,2460000.0,2.0,4.0,29520000.0,10922.0,0.006775067750677507
221,20200526,5,500000.0,0,21,500000.0,1,333109.0,371638.0,12095374.0,-10886040.0,0,3,0.0,0,4,20030715,4,0,1,1,865,12,106,3,20090701.0,0.0,0.0,12864000.0,10.90958904109589,10.90958904109589,154368000.0,1209334.0,0.0032390132669983416
2514,20180929,5,4750000.0,0,21,4600000.0,1,318981.0,182135.0,7591614.0,-6543209.0,1,3,0.0,0,0,20111108,4,0,1,1,1660,12,1733,3,20161018.0,0.5,0.0,99000000.0,1.9479452054794522,2.447945205479452,1188000000.0,1048405.0,0.003998316498316498
48,20201102,0,100000.0,0,21,100000.0,1,12022859.0,11604559.0,0.0,0.0,1,3,0.0,0,4,20200303,2,7,1,0,588,12,693,0,20190709.0,0.0,132000000.0,8478000.0,1.3205479452054794,1.3205479452054794,233736000.0,0.0,0.0004278331108601157
2638,20190708,5,1526604.0,0,21,1526604.0,1,162494.0,136900.0,4752004.0,-4711362.0,0,3,0.0,0,0,20130413,4,0,1,1,1660,12,487,3,20141212.0,1.0,0.0,7344684.0,4.572602739726028,5.572602739726028,88136208.0,40642.0,0.017320963025774832
2612,20190701,5,4000000.0,0,21,4000000.0,1,86162.0,140419.0,5459911.0,-5597590.0,1,2,0.0,0,0,20060228,4,0,1,1,1722,1,1064,0,20190301.0,4.0,0.0,12000000.0,0.33424657534246577,4.3342465753424655,144000000.0,-137679.0,0.027777777777777776
71,20180525,0,1000000.0,0,21,1000000.0,1,56383.0,39067.0,3458428.0,-3163478.0,1,2,1.0,0,0,20100507,4,0,1,1,2224,19,839,3,20110801.0,1.5,0.0,6000000.0,6.8191780821917805,8.31917808219178,72000000.0,294950.0,0.013888888888888888
4279,20180226,5,750000.0,0,21,750000.0,1,37208.0,140850.0,3696302.0,-3613005.0,0,2,1.0,0,4,20080425,4,0,1,1,467,14,456,3,20071203.0,0.0,0.0,5979408.0,10.241095890410959,10.241095890410959,71752896.0,83297.0,0.010452539783202618
4955,20201008,1,400000.0,0,21,400000.0,1,62648.0,144297.0,8176282.0,-8821155.0,0,2,1.0,0,6,20090923,4,0,1,1,73,3,1194,3,20110101.0,0.0,3414000.0,6840000.0,9.775342465753425,9.775342465753425,85494000.0,-644873.0,0.004678690902285541
6176,20181203,5,1800000.0,0,21,1750000.0,1,51473.0,66371.0,4127063.0,-5889525.0,1,3,0.0,0,0,20180813,3,0,1,1,350,12,2260,3,20111101.0,0.0,0.0,9708000.0,7.093150684931507,7.093150684931507,116496000.0,-1762462.0,0.015451174289245983
4806,20200810,0,300000.0,0,21,300000.0,1,52467.0,27180.0,1721478.0,-1411933.0,1,3,0.0,0,0,20200113,3,0,1,0,1998,4,1765,3,20200108.0,0.0,0.0,3000000.0,0.589041095890411,0.589041095890411,36000000.0,309545.0,0.008333333333333333
1009,20190802,0,100000.0,0,21,100000.0,1,73347.0,55202.0,2363580.0,-2346935.0,0,3,0.0,0,4,20060411,4,0,1,0,2096,9,1200,3,20060201.0,0.0,0.0,3000000.0,13.506849315068493,13.506849315068493,36000000.0,16645.0,0.002777777777777778
2175,20180824,0,100000.0,0,21,100000.0,1,45549.0,189380.0,3495728.0,-3760360.0,0,2,0.0,0,1,20130306,4,0,1,1,1204,12,1489,3,20130301.0,0.0,1452000.0,5316000.0,5.484931506849315,5.484931506849315,65244000.0,-264632.0,0.0015327079884740358
3154,20200123,1,50000.0,0,21,50000.0,1,0.0,5576.0,1013410.0,-1013410.0,1,3,0.0,0,0,20190116,3,0,1,0,1034,11,1620,5,20161001.0,0.0,0.0,2400000.0,3.3123287671232875,3.3123287671232875,28800000.0,0.0,0.001736111111111111
6172,20190701,4,1200000.0,0,21,1200000.0,1,60317.0,32780.0,4801574.0,-3977978.0,1,3,0.0,0,4,20180803,4,0,1,1,347,12,1592,3,20131201.0,0.0,0.0,8484000.0,5.583561643835616,5.583561643835616,101808000.0,823596.0,0.011786892975011787
40,20200827,5,1500000.0,0,21,1500000.0,1,655371.0,856855.0,4306327.0,-4108531.0,0,2,2.0,0,4,20010601,3,0,1,0,1036,9,914,3,20000401.0,0.0,3360000.0,11640000.0,20.41917808219178,20.41917808219178,143040000.0,197796.0,0.010486577181208054
5373,20190206,0,300000.0,0,21,300000.0,1,168482.0,119923.0,1552907.0,-1410800.0,1,3,0.0,0,1,20171222,2,19,1,1,2073,12,1908,3,20171212.0,0.3,0.0,3955872.0,1.1534246575342466,1.4534246575342467,47470464.0,142107.0,0.006319719141569798
5279,20190917,0,100000.0,0,21,100000.0,1,37336.0,69146.0,1899742.0,-2115800.0,1,3,0.0,0,0,20161220,4,0,1,1,2073,12,1880,3,20161215.0,0.0,0.0,3771264.0,2.756164383561644,2.756164383561644,45255168.0,-216058.0,0.0022096923825362883
4271,20190522,1,300000.0,0,21,300000.0,1,23399.0,374556.0,8006877.0,-6828877.0,1,2,1.0,0,6,20140620,4,0,1,1,1597,12,2298,3,20140609.0,0.0,0.0,13800000.0,4.953424657534247,4.953424657534247,165600000.0,1178000.0,0.0018115942028985507
4071,20191205,5,200000.0,0,21,200000.0,1,60281.0,47692.0,2315817.0,-2777804.0,0,3,0.0,0,0,20160924,3,0,1,1,1660,12,1526,3,20160901.0,0.2,0.0,2962476.0,3.26027397260274,3.46027397260274,35549712.0,-461987.0,0.005625924620711414
4549,20181001,1,600000.0,0,21,600000.0,1,105133.0,41038.0,897000.0,-598000.0,1,3,0.0,4,6,20180706,4,0,1,1,875,12,677,3,20200401.0,0.0,0.0,9240000.0,-1.5013698630136987,-1.5013698630136987,110880000.0,299000.0,0.005411255411255411
4212,20200210,1,50000.0,0,21,50000.0,1,3291880.0,2289577.0,7612505.0,-5152103.0,1,2,3.0,0,4,20080228,4,0,1,1,2302,12,1791,3,20061115.0,0.0,0.0,8412000.0,13.246575342465754,13.246575342465754,100944000.0,2460402.0,0.0004953241401172928
6658,20201211,0,500000.0,0,21,500000.0,1,4523825.0,4186632.0,5274816.0,-4446916.0,0,2,2.0,0,1,20160212,3,0,1,1,1588,19,2177,3,20200526.0,0.0,720000.0,2282208.0,0.5452054794520548,0.5452054794520548,28106496.0,827900.0,0.01778948183366578
4521,20190109,5,1020000.0,0,21,1020000.0,1,651.0,605.0,1383627.0,-1383000.0,1,3,0.0,0,0,20171124,3,0,1,0,474,14,1961,2,20171101.0,0.0,1440000.0,2220000.0,1.189041095890411,1.189041095890411,28080000.0,627.0,0.03632478632478633
5464,20190214,1,100000.0,0,21,100000.0,1,542.0,1130.0,424197.0,-423600.0,0,3,0.0,0,0,20181103,4,0,1,0,877,4,2243,5,20170728.0,2.5,420000.0,1612788.0,1.5506849315068494,4.050684931506849,19773456.0,597.0,0.0050572848772617186
4139,20180904,1,500000.0,0,21,500000.0,1,264027.0,127087.0,2647695.0,-2315800.0,0,3,0.0,0,0,20130206,4,0,1,1,785,14,378,3,20130204.0,0.0,0.0,6754320.0,5.583561643835616,5.583561643835616,81051840.0,331895.0,0.006168891415666813
2731,20200306,4,3500000.0,0,21,3450000.0,1,11578.0,7786.0,6500.0,-1800.0,1,3,0.0,0,0,20141217,4,0,1,1,2434,5,1366,3,20141010.0,0.0,0.0,5811120.0,5.4082191780821915,5.4082191780821915,69733440.0,4700.0,0.05019112781471845
6093,20180520,5,335000.0,0,21,335000.0,1,103270.0,53616.0,1321612.0,-1152522.0,0,3,0.0,5,0,20150902,4,0,1,0,2499,23,2041,5,20150901.0,0.0,0.0,1501020.0,2.717808219178082,2.717808219178082,18012240.0,169090.0,0.01859846415548538
5337,20190322,1,240000.0,0,21,240000.0,1,129279.0,95823.0,2430138.0,-2342676.0,1,3,0.0,0,6,20171010,3,0,1,1,2343,12,1765,3,20171009.0,1.0,0.0,5238000.0,1.4493150684931506,2.4493150684931506,62856000.0,87462.0,0.0038182512409316535
4089,20201228,5,1000000.0,0,21,1000000.0,1,21797.0,45113.0,4013132.0,-3323463.0,1,2,2.0,4,0,19990226,4,0,1,1,2231,19,751,5,19950531.0,0.0,780804.0,4735668.0,25.5972602739726,25.5972602739726,57608820.0,689669.0,0.017358453097980484
672,20200403,1,1300000.0,0,21,1300000.0,1,183296.0,166830.0,3660234.0,-3635036.0,0,2,2.0,0,1,20010823,4,0,1,1,2422,14,2195,3,20000820.0,0.0,0.0,5148000.0,19.632876712328766,19.632876712328766,61776000.0,25198.0,0.021043771043771045
6432,20200615,5,500000.0,0,21,480000.0,1,9541.0,6316.0,726360.0,-726240.0,1,2,2.0,4,4,20191217,3,0,1,0,1023,23,2617,5,20070703.0,0.0,0.0,1560000.0,12.961643835616439,12.961643835616439,18720000.0,120.0,0.026709401709401708
3912,20190326,1,300000.0,0,21,300000.0,1,47992.0,60559.0,3448832.0,-3349100.0,0,2,1.0,0,2,20090826,4,0,1,1,2073,12,37,3,20100126.0,0.0,0.0,6372000.0,9.167123287671233,9.167123287671233,76464000.0,99732.0,0.003923414940364093
4270,20190515,0,50000.0,0,21,50000.0,1,1209412.0,1029232.0,6461298.0,-5923845.0,0,2,2.0,0,2,20140620,3,0,1,1,1597,12,793,3,20140602.0,0.0,0.0,4999116.0,4.953424657534247,4.953424657534247,59989392.0,537453.0,0.0008334806927198062
4678,20200228,0,1000000.0,0,21,1000000.0,1,748321.0,244334.0,1067321.0,-654000.0,0,3,0.0,0,4,20191029,4,0,1,0,464,14,1852,0,20190927.0,0.0,0.0,3676200.0,0.42191780821917807,0.42191780821917807,44114400.0,413321.0,0.0226683350561268
235,20200220,5,500000.0,0,21,500000.0,1,28485.0,190514.0,4941199.0,-4667936.0,1,2,3.0,4,4,20161219,4,0,1,0,664,7,940,5,20161216.0,0.0,0.0,4476000.0,3.180821917808219,3.180821917808219,53712000.0,273263.0,0.009308906761989873
1004,20190719,5,300000.0,0,21,300000.0,1,6566.0,15988.0,998419.0,-837598.0,0,2,2.0,4,4,20060411,4,0,1,0,465,14,425,5,20020401.0,15.0,0.0,1635216.0,17.30958904109589,32.30958904109589,19622592.0,160821.0,0.01528850011252336
5431,20190118,0,50000.0,0,21,50000.0,1,232804.0,107878.0,1511550.0,-1345200.0,0,3,0.0,0,0,20180828,4,0,1,1,2073,12,1908,3,20180817.0,0.0,0.0,4033248.0,0.42191780821917807,0.42191780821917807,48398976.0,166350.0,0.0010330797081326679
4934,20200114,0,150000.0,0,21,150000.0,1,70677.0,36447.0,2396525.0,-2027562.0,0,3,0.0,0,1,20160609,4,0,1,1,1981,12,308,3,20190212.0,0.0,0.0,4992000.0,0.9205479452054794,0.9205479452054794,59904000.0,368963.0,0.0025040064102564105
4811,20200925,5,430000.0,0,21,405000.0,1,3178.0,6790.0,784000.0,-784330.0,1,3,0.0,0,0,20200113,3,0,1,0,1020,11,102,2,20191111.0,0.0,0.0,1800000.0,0.873972602739726,0.873972602739726,21600000.0,-330.0,0.01990740740740741
2346,20180216,5,1000000.0,0,21,1000000.0,1,289254.0,276789.0,16340279.0,-25730082.0,1,2,2.0,0,4,20060830,3,0,1,1,1302,12,2201,3,20110905.0,0.0,0.0,14400000.0,6.454794520547945,6.454794520547945,172800000.0,-9389803.0,0.005787037037037037
3928,20190912,4,3500000.0,0,21,3500000.0,1,74544.0,26942.0,5577307.0,-8883678.0,0,3,0.0,0,0,20110906,4,0,1,0,1007,12,1734,3,20190815.0,2.8,0.0,10800000.0,0.07671232876712329,2.8767123287671232,129600000.0,-3306371.0,0.02700617283950617
3810,20180919,1,100000.0,0,21,100000.0,1,510630.0,347626.0,3595549.0,-2915772.0,0,2,0.0,0,2,20130508,3,0,1,1,1437,18,737,3,20071101.0,0.0,2880000.0,2882124.0,10.89041095890411,10.89041095890411,37465488.0,679777.0,0.0026691231140509902
5565,20190918,2,100000.0,0,21,100000.0,1,84860.0,14297.0,876534.0,0.0,1,2,1.0,0,4,20190620,4,0,1,1,1692,17,138,3,20190205.0,0.8,0.0,5724000.0,0.6164383561643836,1.4164383561643836,68688000.0,876534.0,0.0014558583740973679
1523,20180612,5,700000.0,0,21,700000.0,1,57165.0,39665.0,997663.0,-861900.0,1,3,0.0,0,1,20171220,4,0,1,0,438,3,2409,3,20171201.0,0.0,1200000.0,2400000.0,0.5287671232876713,0.5287671232876713,30000000.0,135763.0,0.023333333333333334
2310,20181225,5,2000000.0,0,21,1700000.0,1,185679.0,297695.0,9650623.0,-8869698.0,1,2,2.0,0,4,20090403,3,0,1,1,2493,14,866,0,20180401.0,2.0,3960000.0,12000000.0,0.7342465753424657,2.734246575342466,147960000.0,780925.0,0.013517166801838334
6444,20200928,5,1500000.0,0,21,1500000.0,1,28547222.0,26781467.0,10523623.0,-14036721.0,1,2,2.0,2,6,19991007,4,0,1,2,1916,14,2001,0,20061008.0,0.0,10000000.0,22800000.0,13.983561643835616,13.983561643835616,283600000.0,-3513098.0,0.005289139633286318
5032,20191004,5,4000000.0,0,21,4000000.0,1,528.0,92075.0,1752497.0,-1602686.0,0,2,0.0,0,0,20120220,3,0,1,1,2073,12,37,3,20120201.0,6.0,0.0,7626240.0,7.676712328767123,13.676712328767124,91514880.0,149811.0,0.043708738950430794
4358,20180716,4,2700000.0,0,21,2700000.0,1,152261.0,226601.0,12376279.0,-16351624.0,1,2,2.0,0,0,20091026,4,0,1,1,1976,12,1102,3,20191201.0,4.0,0.0,15600000.0,-1.378082191780822,2.621917808219178,187200000.0,-3975345.0,0.014423076923076924
655,20180201,5,1400000.0,0,21,1400000.0,1,23966.0,67049.0,2377562.0,-2806001.0,0,2,1.0,0,6,20081210,4,0,1,1,878,10,1476,3,20081201.0,0.0,3360000.0,4637664.0,9.175342465753424,9.175342465753424,59011968.0,-428439.0,0.023724001205992655
5060,20190516,5,3250000.0,0,21,3250000.0,1,14474.0,30702.0,3987986.0,-4252263.0,1,3,0.0,0,4,20120824,4,0,1,1,2073,12,1932,3,20150817.0,2.0,0.0,8796000.0,3.747945205479452,5.747945205479452,105552000.0,-264277.0,0.030790510838259816
2641,20180811,5,1700000.0,0,21,1700000.0,1,163903.0,339150.0,6060578.0,-7823881.0,1,3,0.0,0,4,20130420,4,0,1,1,2359,12,1765,3,20190311.0,0.6,0.0,10680000.0,-0.5808219178082191,0.019178082191780854,128160000.0,-1763303.0,0.013264669163545567
1244,20180830,5,2500000.0,0,21,2500000.0,1,1661393.0,836410.0,8788114.0,-5096400.0,1,2,0.0,0,0,20140121,4,0,1,1,1740,12,2298,3,20181101.0,1.0,0.0,7200000.0,-0.1726027397260274,0.8273972602739725,86400000.0,3691714.0,0.028935185185185185
2967,20190716,5,2300000.0,0,21,2200000.0,1,839.0,37384.0,10186079.0,-9006334.0,0,3,0.0,0,4,20150511,4,0,1,1,2150,19,203,0,20150119.0,0.0,1147200.0,2363484.0,4.49041095890411,4.49041095890411,29509008.0,1179745.0,0.07794230155076715
3952,20191113,1,50000.0,0,21,50000.0,1,31111.0,53507.0,1965949.0,-2612358.0,0,2,1.0,4,6,20120712,4,0,1,1,1607,12,750,3,20120701.0,0.0,0.0,2509104.0,7.372602739726028,7.372602739726028,30109248.0,-646409.0,0.0016606193552226878
6980,20180522,5,1300000.0,0,21,1300000.0,1,1186548.0,251842.0,10083561.0,-8123665.0,1,2,2.0,0,6,20100222,4,0,1,1,982,12,1739,0,20160601.0,1.0,1200000.0,13740000.0,1.9726027397260273,2.9726027397260273,166080000.0,1959896.0,0.007827552986512524
3659,20200904,5,570000.0,0,21,570000.0,1,17674.0,7598.0,411920.0,-409900.0,0,3,0.0,4,0,20200417,4,0,1,0,1857,23,351,5,20200405.0,0.0,0.0,1320000.0,0.41643835616438357,0.41643835616438357,15840000.0,2020.0,0.03598484848484849
2011,20180226,1,300000.0,0,21,300000.0,1,105020.0,70675.0,2380716.0,-2031390.0,0,2,1.0,0,0,20121024,4,0,1,0,2128,12,1049,0,20020830.0,0.0,0.0,2988108.0,15.504109589041096,15.504109589041096,35857296.0,349326.0,0.008366498131928296
1120,20180423,1,1000000.0,0,21,1000000.0,1,2281894.0,1098588.0,46421705.0,-40606965.0,1,2,3.0,0,0,20130214,4,0,1,1,366,12,1765,3,20170109.0,2.0,34800000.0,19608000.0,1.284931506849315,3.284931506849315,270096000.0,5814740.0,0.003702387299330608
752,20200121,1,1000000.0,0,21,1000000.0,1,1366785.0,1012304.0,6227524.0,-5008609.0,0,3,0.0,0,0,20161213,4,0,1,1,109,17,1765,3,20181101.0,0.7,0.0,9822384.0,1.2219178082191782,1.9219178082191781,117868608.0,1218915.0,0.00848402315907557
5781,20200206,0,100000.0,0,21,100000.0,1,140882.0,23735.0,984610.0,-964000.0,1,3,0.0,0,0,20191219,3,0,1,0,1255,14,1970,5,20090309.0,0.0,0.0,3600000.0,10.92054794520548,10.92054794520548,43200000.0,20610.0,0.0023148148148148147
5007,20190617,4,3490000.0,0,21,3490000.0,1,65210.0,45496.0,3493723.0,-2995236.0,1,3,0.0,0,0,20110823,4,0,1,1,2073,12,1870,3,20180321.0,3.0,0.0,5847120.0,1.2410958904109588,4.241095890410959,70165440.0,498487.0,0.04973958689634099
395,20180706,5,500000.0,0,21,500000.0,1,29253.0,47147.0,2209393.0,-2024145.0,0,2,2.0,0,2,20070904,4,0,1,0,2090,5,102,2,20090401.0,0.0,0.0,3343944.0,9.26849315068493,9.26849315068493,40127328.0,185248.0,0.01246033625762473
6985,20190718,5,400000.0,0,21,400000.0,1,41164.0,32961.0,2024240.0,-2165000.0,1,3,0.0,0,0,20121018,3,0,1,1,125,12,3,3,20200504.0,0.0,0.0,5915328.0,-0.7972602739726027,-0.7972602739726027,70983936.0,-140760.0,0.005635077773089393
4492,20180611,5,250000.0,0,21,250000.0,1,122200.0,141590.0,2362727.0,-2051432.0,1,3,0.0,0,0,20160526,4,0,1,0,1073,7,2090,5,20160601.0,1.0,0.0,3423012.0,2.0273972602739727,3.0273972602739727,41076144.0,311295.0,0.006086257755839984
3369,20200728,2,1000000.0,0,21,1000000.0,1,70314.0,78783.0,1605000.0,-1601370.0,1,3,0.0,0,5,20190830,4,0,1,1,16,12,1315,3,20190301.0,0.0,0.0,4200000.0,1.4109589041095891,1.4109589041095891,50400000.0,3630.0,0.01984126984126984
260,20190306,5,5000000.0,0,21,5000000.0,1,261746.0,134117.0,7109103.0,-6472477.0,0,2,2.0,0,4,20040218,4,0,1,1,69,9,693,0,20050501.0,0.0,3192000.0,10500000.0,13.854794520547944,13.854794520547944,129192000.0,636626.0,0.038702086816521146
7015,20191218,0,200000.0,0,21,200000.0,1,45262.0,7420.0,114159.0,-71000.0,1,3,0.0,4,6,20191105,3,0,1,0,1857,23,2592,5,20190904.0,0.0,0.0,1320000.0,0.2876712328767123,0.2876712328767123,15840000.0,43159.0,0.012626262626262626
5255,20200302,5,2500000.0,0,21,2500000.0,1,954942.0,374624.0,2867568.0,-1934200.0,1,3,0.0,0,0,20161026,4,0,1,1,2073,12,40,3,20161018.0,0.5,0.0,5291484.0,3.372602739726027,3.872602739726027,63497808.0,933368.0,0.03937143782979091
7141,20190807,1,950000.0,0,21,950000.0,1,6358978.0,9411802.0,6456146.0,-11709770.0,0,2,1.0,0,5,20050822,4,0,3,1,2349,1,997,3,20120501.0,3.0,0.0,21480000.0,7.271232876712329,10.271232876712329,257760000.0,-5253624.0,0.003685599006828057
4163,20180117,1,1400000.0,0,21,1400000.0,1,456641.0,1400876.0,4864079.0,-6782700.0,0,2,1.0,0,6,20080204,3,0,1,1,1179,4,2152,3,20140219.0,7.0,0.0,7854000.0,3.9123287671232876,10.912328767123288,94248000.0,-1918621.0,0.014854426619132501
772,20180802,4,3300000.0,0,21,3300000.0,1,578.0,1481.0,1122151.0,-599725.0,1,2,2.0,0,4,20170720,3,0,1,0,824,1,693,0,20080401.0,0.0,528000.0,5400000.0,10.342465753424657,10.342465753424657,65328000.0,522426.0,0.05051432770022043
4022,20180806,5,1520000.0,0,21,1520000.0,1,82190.0,1404700.0,8467358.0,-8507577.0,0,0,1.0,0,1,20141124,4,0,1,0,723,10,392,3,20141120.0,0.0,0.0,2756400.0,3.712328767123288,3.712328767123288,33076800.0,-40219.0,0.04595365936245344
996,20180726,5,1150000.0,0,21,1150000.0,1,65053.0,22579.0,1651751.0,-1505032.0,1,2,1.0,4,0,20060405,4,0,1,0,474,14,759,5,20051019.0,0.0,0.0,3047364.0,12.775342465753425,12.775342465753425,36568368.0,146719.0,0.03144794429983859
6596,20190924,2,1380000.0,0,21,1380000.0,1,1440774.0,1000302.0,3923396.0,-3178670.0,0,3,0.0,0,0,20140802,3,0,1,1,2379,12,1765,3,20170717.0,2.0,0.0,5066868.0,2.1890410958904107,4.189041095890411,60802416.0,744726.0,0.022696466535145576
4227,20190419,1,2500000.0,0,21,2500000.0,1,10101540.0,6849900.0,33047730.0,-30842116.0,1,2,2.0,0,4,20130928,3,0,1,1,2337,12,2334,3,20120501.0,0.0,28710000.0,27175416.0,6.96986301369863,6.96986301369863,354814992.0,2205614.0,0.007045925500239291
3570,20200716,5,1800000.0,0,21,1800000.0,1,0.0,7753.0,2384640.0,-2384640.0,1,2,2.0,4,4,20191218,4,0,1,1,1034,11,1618,2,20151201.0,0.0,0.0,1800000.0,4.627397260273972,4.627397260273972,21600000.0,0.0,0.08333333333333333
6416,20200204,0,50000.0,0,21,50000.0,1,5290.0,891.0,164000.0,-164000.0,1,2,1.0,4,5,20191213,4,0,1,0,1023,23,2617,5,20140925.0,0.0,0.0,1560000.0,5.364383561643836,5.364383561643836,18720000.0,0.0,0.002670940170940171
5830,20201012,5,545000.0,0,21,545000.0,1,100500.0,99555.0,597450.0,-535000.0,1,3,0.0,0,0,20200131,4,0,1,0,732,17,724,2,20180601.0,0.0,0.0,1194900.0,2.367123287671233,2.367123287671233,14338800.0,62450.0,0.03800875944988423
482,20180706,2,200000.0,0,21,200000.0,1,28045.0,23415.0,2043411.0,-1941995.0,0,3,0.0,0,5,20120404,3,0,1,1,2151,19,411,3,20120324.0,0.0,0.0,2874348.0,6.287671232876712,6.287671232876712,34492176.0,101416.0,0.005798416429279498
2237,20190803,4,1250000.0,0,21,1250000.0,1,46074.0,79122.0,3441482.0,-2991230.0,1,2,1.0,0,0,20170410,3,0,1,1,2408,12,677,3,20160118.0,5.4,0.0,6360000.0,3.5424657534246577,8.942465753424658,76320000.0,450252.0,0.01637840670859539
852,20181016,5,1000000.0,0,21,1000000.0,1,46417.0,45960.0,2287362.0,-1963649.0,1,2,2.0,0,4,20170925,4,0,1,0,1468,11,2594,0,20170901.0,0.0,1868352.0,1635912.0,1.1232876712328768,1.1232876712328768,21499296.0,323713.0,0.046513150942244806
1627,20201203,5,710000.0,0,21,710000.0,1,17340.0,3458.0,223470.0,-223300.0,1,3,0.0,4,0,20200811,4,0,1,0,1857,23,351,5,20200810.0,0.0,0.0,1440000.0,0.3150684931506849,0.3150684931506849,17280000.0,170.0,0.041087962962962965
2192,20190430,0,100000.0,0,21,100000.0,1,13362.0,10152.0,2200308.0,-2199800.0,1,3,0.0,0,0,20170410,4,0,1,0,164,17,239,3,20170401.0,0.8,1920000.0,3600000.0,2.0794520547945203,2.8794520547945206,45120000.0,508.0,0.002216312056737589
4530,20180727,5,1100000.0,0,21,1100000.0,1,377841.0,118415.0,697584.0,-269300.0,1,2,2.0,0,0,20180312,4,0,1,0,474,14,345,2,20171012.0,0.0,0.0,2638152.0,0.7890410958904109,0.7890410958904109,31657824.0,428284.0,0.03474654480358473
